"Časová značka","Kolik vám je let?","Jaké je vaše pohlaví?","Jaké je vaše nejvyšší ukončené vzdělání?","Myslíte si, že víte co je syndrom vyhoření?","Které pocity patří k syndromu vyhoření?","Co si myslíte, že je syndrom vyhoření","Myslíte si, že stát má prevenční opatření, aby nenastal syndrom vyhoření?"
"2022/04/21 7:07:07 dop. GMT+2","18 - 30","Žena","Vyšší odborné vzdělání","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/21 9:45:47 dop. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/21 12:44:42 odp. GMT+2","41-50","Žena","Střední škola s maturitou","Ano","Vyčerpanost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/21 12:57:56 odp. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 5:42:38 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 5:44:09 odp. GMT+2","41-50","Muž","Vysoká škola (magisterské studium)","Ano","Vyčerpanost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 5:44:48 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 5:47:41 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 5:49:52 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 5:50:30 odp. GMT+2","18 - 30","Žena","Základní škola","Ano","Vyčerpanost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 5:52:30 odp. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ne","Vyčerpanost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/26 5:52:41 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 5:52:48 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/26 5:53:06 odp. GMT+2","do 18ti let","Žena","Základní škola","Ne","Vyčerpanost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/26 5:54:04 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 5:56:40 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 5:59:12 odp. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:02:06 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:03:01 odp. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:04:31 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:06:32 odp. GMT+2","18 - 30","Žena","Základní škola","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:11:38 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:14:58 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:16:41 odp. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ne","Vyčerpanost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:22:26 odp. GMT+2","18 - 30","Muž","Vyšší odborné vzdělání","Ano","Vyčerpanost;Podrážděnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/26 6:24:10 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/26 6:26:10 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:33:45 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:38:49 odp. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:41:51 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:51:32 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:51:59 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ne","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 6:54:11 odp. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/26 7:02:27 odp. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ano","Vyčerpanost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 7:06:02 odp. GMT+2","31 - 40","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 7:31:31 odp. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 7:36:21 odp. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 7:36:22 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 8:20:08 odp. GMT+2","18 - 30","Žena","Základní škola","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 8:21:02 odp. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 8:32:02 odp. GMT+2","18 - 30","Muž","Základní škola","Ano","Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 8:43:36 odp. GMT+2","31 - 40","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 8:50:56 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 8:58:15 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 9:08:41 odp. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 9:09:30 odp. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 9:12:01 odp. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/26 11:29:28 odp. GMT+2","18 - 30","Žena","Odborné učiliště s výučním listem","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 12:29:01 dop. GMT+2","18 - 30","Muž","Vysoká škola (bakalářské studium)","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 6:20:38 dop. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 7:06:12 dop. GMT+2","18 - 30","Muž","Vyšší odborné vzdělání","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 7:06:17 dop. GMT+2","do 18ti let","Žena","Základní škola","Ne","Vyčerpanost;Podrážděnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/27 8:43:34 dop. GMT+2","18 - 30","Muž","Střední s maturitou a výučním listem","Ano","Vyčerpanost;Podrážděnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 8:58:40 dop. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 10:11:10 dop. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ne","Vyčerpanost;Podrážděnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 12:14:09 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 1:20:36 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 2:33:11 odp. GMT+2","18 - 30","Žena","Základní škola","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 2:54:36 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 2:57:19 odp. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ano","Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:05:49 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:09:54 odp. GMT+2","do 18ti let","Muž","Základní škola","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:12:15 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:18:13 odp. GMT+2","18 - 30","Muž","Základní škola","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/27 3:20:36 odp. GMT+2","18 - 30","Muž","Základní škola","Ne","Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:22:13 odp. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:23:25 odp. GMT+2","do 18ti let","Žena","Základní škola","Ne","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:26:42 odp. GMT+2","18 - 30","Muž","Vysoká škola (inženýrský studium)","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/27 3:27:32 odp. GMT+2","18 - 30","Žena","Základní škola","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:29:04 odp. GMT+2","do 18ti let","Žena","Základní škola","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:29:43 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:40:14 odp. GMT+2","18 - 30","Žena","Teď maturuji","Ano","Vyčerpanost;Podrážděnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:49:05 odp. GMT+2","do 18ti let","Jiné","Základní škola","Ne","Vyčerpanost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 4:24:47 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/27 4:31:59 odp. GMT+2","do 18ti let","Muž","Základní škola","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 4:35:46 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 4:37:33 odp. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/27 4:45:29 odp. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ano","Vyčerpanost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 5:20:18 odp. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 5:46:24 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 5:48:23 odp. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ne","Vyčerpanost;Podrážděnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 6:15:07 odp. GMT+2","do 18ti let","Muž","Základní škola","Ne","Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/27 6:40:10 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 7:09:50 odp. GMT+2","do 18ti let","Žena","Základní škola","Ano","Vyčerpanost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 8:19:43 odp. GMT+2","18 - 30","Žena","Odborné učiliště s výučním listem","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 9:13:36 odp. GMT+2","41-50","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 9:55:45 odp. GMT+2","18 - 30","Muž","Vyšší odborné vzdělání","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 10:02:52 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"